"PSLCODE 1250";"9 1";"4 2";"Source Access Key";"Target Access Key"
"EXTRACTED/1679/0";"When you open Foxit Editor Cloud (<a href=""{linkOnline1}"">{linkOnline}</a>) or Foxit eSign (<a href=""{linkSign1}"">{linkSign}</a>), the service will be activated automatically.";"当您打开福昕高级PDF编辑器网页版(<a href=""{linkOnline1}"">{linkOnline}</a>) 或福昕电子签章 (<a href=""{linkSign1}"">{linkSign}</a>) 时，服务将自动激活。";"";""
"EXTRACTED/1680/0";"Please download the app for <a href=""{link1}"">Foxit PDF Editor iOS</a> or <a href=""{link2}"">Foxit PDF Editor Android</a>. After successful installation, open Foxit PDF Editor on your mobile device, and tap the user account icon on the top corner to log in with your Foxit Account.";"请下载<a href=""{link1}"">福昕高级PDF编辑器 iOS</a>或<a href=""{link2}"">福昕高级PDF编辑器 Android</a>应用。安装成功后，在您的移动设备上打开福昕高级PDF编辑器，然后点击顶部角落的用户账户图标，使用您的福昕账户登录。";"";""
"EXTRACTED/1681/0";"Your primary point of contact for support and sales is your Admin:";"您的主要支持和销售联系人是您的管理员:";"";""
"EXTRACTED/1682/0";"Contact:";"联系:";"";""
"EXTRACTED/1683/0";"Make sure to indicate the product name (""Foxit Admin Console"") and the version number.";"请务必标明产品名称（"" 福昕管理控制台""）和版本号。";"";""
"EXTRACTED/1684/0";"If possible, please include your organization name, super admin email address and Microsoft subscription ID for a prompt response.";"如果可能，请提供您的组织名称、超级管理员电子邮件地址和Microsoft订阅ID，以便快速响应。";"";""
"EXTRACTED/1685/0";"<strong>Reason:</strong> No available licenses remaining. The provisioning system attempted to assign a license but all licenses are currently in use.";"<strong>原因:</strong> 没有可用的许可证。预配系统尝试分配许可证，但所有许可证当前均已被使用。";"";""
"EXTRACTED/1686/0";"<strong>Action Required:</strong> Please purchase additional licenses or remove inactive users to free up licenses.";"<strong>需要操作:</strong> 请购买额外的许可证或移除不活跃用户以释放许可证。";"";""
"EXTRACTED/1687/0";"Grant Temporary Access to Foxit Support Team for Your Admin Console";"授予福昕支持团队对您的管理控制台的临时访问权限";"";""
"EXTRACTED/1688/0";"Revocation of Temporary Access to Your Admin Console for Foxit Support Team";"撤销对您的管理控制台的临时访问权限，以支持福昕团队";"";""
"EXTRACTED/1689/0";"In line with your recent request for support, please authorize our team to temporarily access your Admin Console to perform the necessary troubleshooting. To complete this authorization, simply click the link below within {linkExpiry} hours:";"根据您最近的支持请求，请授权我们的团队临时访问您的管理控制台以进行必要的故障排除。要完成此授权，只需在{linkExpiry}小时内点击以下链接:。";"";""
"EXTRACTED/1690/0";"By clicking this link, you will grant the Foxit Support Team temporary administrative access to your account during the following period:";"点击此链接，您将授予 福昕支持团队在以下期间对您的账户的临时管理权限:";"";""
"EXTRACTED/1691/0";"Access Time:";"访问时间:";"";""
"EXTRACTED/1692/0";"Please note that this access will be automatically revoked at the end of the specified period to ensure the security of your account.";"请注意，为确保您的账户安全，此访问权限将在指定期限结束时自动撤销。";"";""
"EXTRACTED/1693/0";"If you did not request this assistance, please disregard this email or contact our support team immediately at {supportEmail}.";"如果您没有请求此帮助，请忽略此邮件或立即通过 {supportEmail} 联系我们的支持团队。";"";""
"EXTRACTED/1694/0";"Thank you for trusting Foxit Software. If you have any questions or need further assistance, feel free to reach out to us.";"感谢您信任福昕软件。如果您有任何问题或需要进一步的帮助，欢迎随时联系我们。";"";""
"EXTRACTED/1695/0";"In line with the completion of your support request, the temporary administrative access granted to the Foxit Support Team for your Admin Console has been <strong>revoked</strong> as of {revokeDateTime}.";"根据您的支持请求已完成，授予福昕支持团队对您的管理控制台的临时管理访问权限已于{revokeDateTime}<strong>撤销</strong>。";"";""
"EXTRACTED/1696/0";"The access period for this authorization was:";"此授权的访问期限为:";"";""
"EXTRACTED/1697/0";"Please note that the Foxit Support Team ({supportEmail}) can no longer access your Admin Console or perform any administrative actions on your behalf. Your account has reverted to its normal secure state, and all temporary permissions have been fully revoked.";"请注意， 福昕支持团队（{supportEmail}）不再能够访问您的管理控制台或代表您执行任何管理操作。您的账户已恢复到正常的安全状态，所有临时权限已被完全撤销。";"";""
"EXTRACTED/1698/0";"If you did not authorize this temporary access or believe this revocation was made in error, please disregard this email or contact our support team immediately at {supportEmail}.";"如果您未授权此临时访问或认为此次撤销有误，请忽略此邮件或立即通过 {supportEmail} 联系我们的支持团队。";"";""
"EXTRACTED/1699/0";"As a <b>Read-Only Administrator</b> of the Admin Console, you can view all users, licenses, and settings but cannot modify any data or configurations for {org}.";"作为管理控制台的<b>只读管理员</b>，您可以查看所有用户、许可证和设置，但无法修改任何 {org} 的数据或配置。";"";""
"EXTRACTED/1700/0";"Authorize Access Now";"立即授权访问";"";""
"EXTRACTED/1701/0";"Technical:";"技术:";"";""
"EXTRACTED/1702/0";"To complete the process, please note that once you join this organization, your account's data storage region will be automatically updated to align with the organization's data center; you will then be disassociated from your original organization and lose the ability to transfer or access any previous account data.";"要完成此过程，请注意，一旦您加入此组织，您的账户数据存储区域将自动更新与该组织的数据中心保持一致；随后，您将与原组织解除关联，并且无法转移或访问任何以前的账户数据。";"";""
"EXTRACTED/1703/0";"Please review the above information carefully before proceeding.";"请在继续操作前仔细审阅上述信息。";"";""
"EXTRACTED/1704/0";"To complete the process, once confirmed, your account's data storage region will be automatically updated to match your organization's data center region; you will then be disassociated from your original organization and lose the ability to transfer or access any previous account data.";"完成该过程后，一旦确认，您的账户数据存储区域将自动更新为与您的组织数据中心区域相匹配；随后，您将与原组织解除关联，并且无法转移或访问任何之前的账户数据。";"";""
"EXTRACTED/1705/0";"If you consent to the transfer of your personal (account) data from the {Origin} data center to the {Destination} data center for the purpose of logging in to and using Foxit products, please click the link below to change your data storage location.";"如果您同意将您的个人（账户）数据从{Origin}数据中心转移到{Destination}数据中心，以便登录和使用福昕产品，请点击以下链接更改您的数据存储位置。";"";""
"EXTRACTED/1706/0";"Configuration";"配置";"";""
"EXTRACTED/1707/0";"Configure the settings for the internal update server.";"配置内部更新服务器的设置";"";""
"EXTRACTED/1708/0";"Packages to download";"下载包";"";""
"EXTRACTED/1709/0";"Choose which Foxit update packages should be automatically downloaded. Downloaded packages can be viewed in: ";"选择应自动下载哪些福昕更新软件包。可以在以下位置查看已下载的软件包： ";"";""
"EXTRACTED/1710/0";"Version Management";"版本管理";"";""
"EXTRACTED/1711/0";"Automatic update check interval";"自动更新检测间隔";"";""
"EXTRACTED/1712/0";"How often the Update Server will check for new updates.";"更新服务器多久检查一次更新";"";""
"EXTRACTED/1713/0";"Check for new packages every";"检测新包-每";"";""
"EXTRACTED/1714/0";"days.";"天。";"";""
"EXTRACTED/1715/0";"Manual Update";"手动更新";"";""
"EXTRACTED/1716/0";"Click here to manually check for new updates.";"点击这里手动检查更新。";"";""
"EXTRACTED/1717/0";"Check for Updates";"检查更新";"";""
"EXTRACTED/1718/0";"Approved manually";"手动批准";"";""
"EXTRACTED/1719/0";"Automatically approve downloaded packages";"自动批准下载的软件包";"";""
"EXTRACTED/1720/0";"If you turn this setting on, all downloaded packages will be automatically approved for distribution. Otherwise, you must approve all packages manually.";"如果您启用该设置，则所有下载的软件包都将自动获得批准以进行分发。否则，您必须手动批准所有软件包。";"";""
"EXTRACTED/1721/0";"Network proxy configuration";"网络代理配置";"";""
"EXTRACTED/1722/0";"Proxy server settings for connecting to Foxit servers. If you";"用于连接到福昕服务器的代理服务器设置。如果不确定，请将这些留空。";"";""
"EXTRACTED/1723/0";"Address";"地址";"";""
"EXTRACTED/1724/0";"Port";"端口";"";""
"EXTRACTED/1725/0";"Save";"保存";"";""
"EXTRACTED/1726/0";"Save and Test";"保存并测试";"";""
"EXTRACTED/1727/0";"Manage downloaded packages and plugins, and decide which ones will be available to users here.";"管理下载的软件包和插件，并在这里确定哪些软件包可供用户使用。";"";""
"EXTRACTED/1728/0";"Welcome to the Foxit Admin Console";"欢迎使用福昕管理控制台";"";""
"EXTRACTED/1729/0";"Next generation PDF solutions for the world, with leading - edge technology that powers document intelligence, security, and collaboration services for PDF files.";"具有领先技术的下一代全球PDF解决方案，可为PDF文件提供文档智能，安全性和协作服务。";"";""
"EXTRACTED/1730/0";"The password length is 8-16 characters and at least 2 types of numbers, letters, and symbols.";"密码长度为8-16个字符，并且至少包含数字，字母和符号中的两种类型。";"";""
"EXTRACTED/1731/0";"Password is required.";"密码是必需的。";"";""
"EXTRACTED/1732/0";"Please confirm your password.";"请确认您的密码。";"";""
"EXTRACTED/1733/0";"Email address is required.";"邮件地址为必填项。";"";""
"EXTRACTED/1734/0";"Main Update Packages";"主要更新包";"";""
"EXTRACTED/1735/0";"Plug-in Packages";"插件软件包";"";""
"EXTRACTED/1736/0";"Package Name";"软件包名称";"";""
"EXTRACTED/1737/0";"Download Completion Time";"下载完成时间";"";""
"EXTRACTED/1738/0";"Size";"大小";"";""
"EXTRACTED/1739/0";"Download failure time";"下载失败时间";"";""
"EXTRACTED/1740/0";"Download failure reason";"下载失败原因";"";""
"EXTRACTED/1741/0";"Start Time";"开始时间";"";""
"EXTRACTED/1742/0";"Downloading";"下载中";"";""
"EXTRACTED/1743/0";"Downloaded";"已下载";"";""
"EXTRACTED/1744/0";"Package Size from:";"安装包大小：";"";""
"EXTRACTED/1745/0";"to";"到";"";""
"EXTRACTED/1746/0";"MB";"MB";"";""
"EXTRACTED/1747/0";"Retry";"重试";"";""
"EXTRACTED/1748/0";"Search";"搜索";"";""
"EXTRACTED/1749/0";"The current list is empty.";"当前列表为空。";"";""
"EXTRACTED/1750/0";"Total domains";"总域名";"";""
"EXTRACTED/1751/0";"The internal update server will automatically detect what versions of Foxit PDF Editor and Foxit PDF Reader your users are using, and will automatically download updates to these versions.";"内部更新服务器将自动检测您的用户正在使用的福昕高级PDF编辑器和福昕阅读器版本，并将自动下载这些版本的更新。";"";""
"EXTRACTED/1752/0";"IP address error";"IP地址错误";"";""
"EXTRACTED/1753/0";"Port error";"端口错误";"";""
"EXTRACTED/1754/0";"IP address required";"IP地址必填";"";""
"EXTRACTED/1755/0";"Port required";"端口必填";"";""
"EXTRACTED/1756/0";"Always update to the latest version";"总是更新为最新版本";"";""
"EXTRACTED/1757/0";"Assigned / Total licenses";"已分配/授权总数";"";""
"EXTRACTED/1758/0";"Activated / Total licenses";"已激活/授权总数";"";""
"EXTRACTED/1759/0";"Number of documents uploaded";"上传的文件数量";"";""
"EXTRACTED/1760/0";"Number of logins";"登录次数";"";""
"EXTRACTED/1761/0";"Number of documents viewed by user";"用户查看的文件数量";"";""
"EXTRACTED/1762/0";"Enterprise statistics";"企业统计";"";""
"EXTRACTED/1763/0";"More details";"更多详情";"";""
"EXTRACTED/1764/0";"Products";"产品";"";""
"EXTRACTED/1765/0";"Foxit PDF Editor usage statistics";"福昕高级PDF编辑器使用统计";"";""
"EXTRACTED/1766/0";"License management";"授权管理";"";""
"EXTRACTED/1767/0";"License Management";"授权管理";"";""
"EXTRACTED/1768/0";"Assign, restore, or remove licenses from users.";"从用户处分配，还原或移除授权。";"";""
"EXTRACTED/1769/0";"View and manage the licensed devices for each of your users.";"查看和管理每个用户的授权设备。";"";""
"EXTRACTED/1770/0";"Manual Group Name";"手动组名称";"";""
"EXTRACTED/1771/0";"Synced Groups Name";"同步的组名称";"";""
"EXTRACTED/1772/0";"Read-only, synced from and managed by an identity provider.";"只读，由身份提供者同步和管理。";"";""
"EXTRACTED/1773/0";"Added Time";"添加时间";"";""
"EXTRACTED/1774/0";"Clear";"清除";"";""
"EXTRACTED/1775/0";"Assign License to Group";"将授权分配给组";"";""
"EXTRACTED/1776/0";"Assign Licenses with CSV File";"使用CSV文件分配授权";"";""
"EXTRACTED/1777/0";"Remove License";"移除授权";"";""
"EXTRACTED/1778/0";"Remove Licenses with CSV File";"使用CSV文件移除授权";"";""
"EXTRACTED/1779/0";"Restore Activation";"重置激活";"";""
"EXTRACTED/1780/0";"Export";"导出";"";""
"EXTRACTED/1781/0";"Columns";"列";"";""
"EXTRACTED/1782/0";"MAC Address:";"MAC地址：";"";""
"EXTRACTED/1783/0";"Assign License to Selected Users";"向选定的用户分配授权";"";""
"EXTRACTED/1784/0";"Assign";"分配";"";""
"EXTRACTED/1785/0";"Assign License to Selected Groups";"向选定的组分配授权";"";""
"EXTRACTED/1786/0";"Group list:";"组列表：";"";""
"EXTRACTED/1787/0";"Selected group:";"选定的组：";"";""
"EXTRACTED/1788/0";"User list";"用户列表";"";""
"EXTRACTED/1789/0";"Selected User";"选定的用户";"";""
"EXTRACTED/1790/0";"Select user(s) to assign licenses to:";"选择用户以将授权分配给：";"";""
"EXTRACTED/1791/0";"MobilePDF";"福昕阅读器（移动版）";"";""
"EXTRACTED/1792/0";"Select group(s) to assign licenses to:";"选择组以将授权分配给：";"";""
"EXTRACTED/1793/0";"Upload a CSV file containing multiple users, and we will assign a license to each valid user in the file.";"上传包含多个用户的CSV文件，我们将为文件中的每个有效用户分配一个授权。";"";""
"EXTRACTED/1794/0";"Download the sample CSV file to see the required format.";"下载示例CSV文件以查看所需的格式。";"";""
"EXTRACTED/1795/0";"Update the Foxit products and licenses you own.";"更新您拥有的产品和授权";"";""
"EXTRACTED/1796/0";"Add a product";"添加产品";"";""
"EXTRACTED/1797/0";"Update Licenses";"更新授权";"";""
"EXTRACTED/1798/0";"Licenses used";"已使用的授权";"";""
"EXTRACTED/1799/0";"Text translate quota used (character-based)";"已使用的翻译字符数";"";""
"EXTRACTED/1800/0";"The total number of users who have used {{product}}.";"已使用{{product}}的用户总数。";"";""
"EXTRACTED/1801/0";"Document translate quota used (page-based)";"已使用的翻译页数";"";""
"EXTRACTED/1802/0";"Log in with the account you used to purchase Foxit licenses.";"使用您用于购买福昕授权的账户登录。";"";""
"EXTRACTED/1803/0";"Are you sure you want to delete this update package?";"您确定要删除该更新软件包吗？";"";""
"EXTRACTED/1804/0";"Delete Package";"删除包";"";""
"EXTRACTED/1805/0";"Review usage data for Foxit products in your organization.";"查看组织中福昕产品的使用情况数据。";"";""
"EXTRACTED/1806/0";"Statistics";"统计";"";""
"EXTRACTED/1807/0";"Mobile";"移动版";"";""
"EXTRACTED/1808/0";"Client Activation Policy";"客户端激活策略";"";""
"EXTRACTED/1809/0";"Customize your organization";"自定义组织的客户端激活策略。";"";""
"EXTRACTED/1810/0";"Security";"安全";"";""
"EXTRACTED/1811/0";"Change settings for Admin Console users.";"更改管理控制台用户的设置。";"";""
"EXTRACTED/1812/0";"Password Policy";"密码策略";"";""
"EXTRACTED/1813/0";"Confirm New Password";"确认密码";"";""
"EXTRACTED/1814/0";"Set the interval when Admin Console administrator passwords will expire.";"设置管理控制台管理员密码到期的时间间隔。";"";""
"EXTRACTED/1815/0";"Licensing Model:";"授权模式：";"";""
"EXTRACTED/1816/0";"IP address range restriction:";"IP地址范围限制：";"";""
"EXTRACTED/1817/0";"Offline available time:";"离线激活有效期：";"";""
"EXTRACTED/1818/0";"Account Mode";"账户模式";"";""
"EXTRACTED/1819/0";"In order to change the licensing mode, you must redeploy the Admin Console. Data and settings will not be saved.";"为了更改授权模式，您必须重新部署管理控制台。数据和设置将不会保存。";"";""
"EXTRACTED/1820/0";"Only clients in these IP address range(s) will be able to activate Foxit products using your licenses.";"只有这些IP地址范围内的客户端才能使用您的授权激活福昕产品。";"";""
"EXTRACTED/1821/0";"IP address range(s):";"IP地址范围：";"";""
"EXTRACTED/1822/0";"How long licenses can be used without connecting to the server. The maximum value is {{days}} days.";"没有连接到服务器的情况下，授权可以使用多长时间。最大值是{{days}}天。";"";""
"EXTRACTED/1823/0";"Add range";"添加范围";"";""
"EXTRACTED/1824/0";"Welcome to the setup wizard for the Foxit Admin Console.";"欢迎使用福昕管理控制台的设置向导。";"";""
"EXTRACTED/1825/0";"Activate License";"激活授权";"";""
"EXTRACTED/1826/0";"Choose Licensing Mode";"选择授权模式";"";""
"EXTRACTED/1827/0";"Choose how to update your licenses";"选择如何更新您的授权";"";""
"EXTRACTED/1828/0";"Key File Activation";"密钥文件激活";"";""
"EXTRACTED/1829/0";"Drag and drop your key file here.";"将您的授权文件拖拽到这里。";"";""
"EXTRACTED/1830/0";"Browse";"浏览";"";""
"EXTRACTED/1831/0";"Online Activation";"在线激活";"";""
"EXTRACTED/1832/0";"Connect to Foxit servers for activation";"连接到福昕服务器进行激活";"";""
"EXTRACTED/1833/0";"Users log in to activate their licenses. Allows precise and flexible control by administrators.";"用户登录以便激活其授权。允许管理员进行精确而灵活的控制。";"";""
"EXTRACTED/1834/0";"Non-account Mode";"非账户模式";"";""
"EXTRACTED/1835/0";"Users activate licenses without logging in. Additional configuration by administrators is required.";"用户无需登录即可激活授权。需要管理员进行其他配置。";"";""
"EXTRACTED/1836/0";"If you decide to change to a different mode later, you will need to re-deploy the Admin Console and reset all settings and license activations.";"如果您以后决定更改为其他模式，则需要重新部署管理控制台并重置所有设置和授权激活。";"";""
"EXTRACTED/1837/0";"Get Started";"立即启用";"";""
"EXTRACTED/1838/0";"Welcome to the Foxit Admin Console!";"欢迎使用福昕管理控制台！";"";""
"EXTRACTED/1839/0";"Purchase a product";"购买产品";"";""
"EXTRACTED/1840/0";"Size must be greater than 0";"大小必须大于0";"";""
"EXTRACTED/1841/0";"Days cannot be empty";"天数不能为空";"";""
"EXTRACTED/1842/0";"Please enter a number greater than 1";"请输入大于1的数字";"";""
"EXTRACTED/1843/0";"If your computer is connected to the Internet, you can use online activation by logging in to the account you purchased Foxit software with.";"如果您的计算机已连接到Internet，则可以通过登录购买福昕软件的账户来使用在线激活。";"";""
"EXTRACTED/1844/0";"Offline Activation";"离线激活";"";""
"EXTRACTED/1845/0";"If your computer is not connected to the Internet, you can activate using a key file.<br/>Don";"如果您的计算机未连接到Internet，则可以使用密钥文件进行激活。<br/>还没有密钥文件？";"";""
"EXTRACTED/1846/0";"Get one";"获取一个";"";""
"EXTRACTED/1847/0";"Copy Server ID";"复制服务器ID";"";""
"EXTRACTED/1848/0";"Copy";"复制";"";""
"EXTRACTED/1849/0";"Contact Foxit";"请使用服务器ID与福昕的销售团队联系以获取授权密钥文件：";"";""
"EXTRACTED/1850/0";"Server ID";"服务器ID";"";""
"EXTRACTED/1851/0";"Password policy has been saved.";"密码策略已保存。";"";""
"EXTRACTED/1852/0";"Your password has been changed. Please log in with the new password.";"您的密码已被更改。请使用新密码登录。";"";""
"EXTRACTED/1853/0";"Offline activation period has been saved.";"离线激活有效期已保存。";"";""
"EXTRACTED/1854/0";"IP range(s) have been saved.";"IP范围已保存。";"";""
"EXTRACTED/1855/0";"{{fileName}} has been uploaded successfully.";"{{fileName}}已成功上传。";"";""
"EXTRACTED/1856/0";"Please upload a .txt file.";"请上传一个.txt文件。";"";""
"EXTRACTED/1857/0";"Please upload a .csv file.";"请上传一个.csv文件。";"";""
"EXTRACTED/1858/0";"Oops... This file is larger than {{size}}!";"糟糕...这个文件比{{size}}还要大！";"";""
"EXTRACTED/1859/0";"Headers (first line of the CSV) are missing or invalid.";"标题（CSV文件的第一行）缺失或无效。";"";""
"EXTRACTED/1860/0";"Sorry, the file you uploaded is empty with no content. ";"抱歉，您上传的文件为空，没有任何内容。";"";""
"EXTRACTED/1861/0";"This is not a valid license key file.";"这不是有效的授权密钥文件。";"";""
"EXTRACTED/1862/0";"No license keys are available on this account.";"该账户上没有可用的授权密钥。";"";""
"EXTRACTED/1863/0";"No users have activated Foxit PDF Editor.";"没有用户激活福昕高级PDF编辑器。";"";""
"EXTRACTED/1864/0";"This list is empty.";"该列表为空。";"";""
"EXTRACTED/1865/0";"Users and Groups";"用户和组";"";""
"EXTRACTED/1866/0";"LDAP users";"LDAP用户";"";""
"EXTRACTED/1867/0";"Users";"用户";"";""
"EXTRACTED/1868/0";"Groups";"组";"";""
"EXTRACTED/1869/0";"Invitation pending";"邀请待处理";"";""
"EXTRACTED/1870/0";"Has site access";"可以访问网站";"";""
"EXTRACTED/1871/0";"No site access";"没有网站访问权限";"";""
"EXTRACTED/1872/0";"Re-send invite";"重新发送邀请";"";""
"EXTRACTED/1873/0";"Show details";"显示详情";"";""
"EXTRACTED/1874/0";"Back to user list";"返回用户列表";"";""
"EXTRACTED/1875/0";"Created";"创建时间";"";""
"EXTRACTED/1876/0";"Last Updated";"上次更新";"";""
"EXTRACTED/1877/0";"Login";"登录";"";""
"EXTRACTED/1878/0";"Last Login";"上次登录";"";""
"EXTRACTED/1879/0";"Last Failed Login";"上次失败的登录";"";""
"EXTRACTED/1880/0";"Drag a CSV file from your computer to here, or <span style=";"从您的计算机中拖放一个CSV文件到这里，或者 <span style='color: #f58320;cursor: pointer;'>浏览</span>";"";""
"EXTRACTED/1881/0";"End Time";"结束时间";"";""
"EXTRACTED/1882/0";"Invite users";"邀请用户";"";""
"EXTRACTED/1883/0";"There are no users.";"没有用户。";"";""
"EXTRACTED/1884/0";"invite users";"邀请用户";"";""
"EXTRACTED/1885/0";"Inviting users is the easiest way to get your team started. Enter one or more email addresses, separated by semicolons. Then the Admin Console will send invitation emails to everyone.";"邀请用户是让团队启用的最简单方法。输入一个或者多个邮件地址，使用分号进行间隔。然后管理控制台就会向所有人发送邀请邮件。";"";""
"EXTRACTED/1886/0";"To send emails, configure a mail server within the Admin Console.";"如要发送邮件，请在管理控制台中配置邮件服务器。";"";""
"EXTRACTED/1887/0";"Configure mail servers";"配置邮件服务器";"";""
"EXTRACTED/1888/0";"Email To:";"发邮件给：";"";""
"EXTRACTED/1889/0";"Enter one or more email addresses, separated by semicolons";"输入一个或多个邮件地址，以分号分隔";"";""
"EXTRACTED/1890/0";"Message:";"消息：";"";""
"EXTRACTED/1891/0";"Please join me on [Sample site]. It";"请加入我的[示例网站]。在这里可以创建，编辑，讨论和保护PDF文档。接受此邀请即可开始！";"";""
"EXTRACTED/1892/0";"Send";"发送";"";""
"EXTRACTED/1893/0";"Please select a file and re-upload.";"请选择一个文件并重新上传。";"";""
"EXTRACTED/1894/0";"Licenses will be assigned to users, and the results will be shown in <span style=";"授权将分配给用户，结果将显示在<span style='color: #f58320;'>“分配授权->批量操作结果”</span>中。 ";"";""
"EXTRACTED/1895/0";"Licenses have been removed.";"授权已被移除。";"";""
"EXTRACTED/1896/0";"License has been removed.";"授权已被移除。";"";""
"EXTRACTED/1897/0";"Add user";"添加用户";"";""
"EXTRACTED/1898/0";"Export Users";"导出用户";"";""
"EXTRACTED/1899/0";"Automatic Export Settings";"自动导出设置";"";""
"EXTRACTED/1900/0";"Configure the schedule and delivery method. Reports are sent only when license data is available. If no license data is available, no report or email will be sent.";"配置计划和发送方式。报告仅在有许可证数据时发送。如果没有许可证数据，则不会发送报告或电子邮件。";"";""
"EXTRACTED/1901/0";"Enable Automatic Export";"启用自动导出";"";""
"EXTRACTED/1902/0";"Export frequency";"导出频率";"";""
"EXTRACTED/1903/0";"Indicator Settings";"指标设置";"";""
"EXTRACTED/1904/0";"Please select at least one indicator.";"请至少选择一个指标。";"";""
"EXTRACTED/1905/0";"Recipient emails settings";"收件人电子邮件设置";"";""
"EXTRACTED/1906/0";"Metrics for export support.";"导出支持的指标。";"";""
"EXTRACTED/1907/0";"Resend Request";"重新发送请求";"";""
"EXTRACTED/1908/0";"Add a user";"添加用户";"";""
"EXTRACTED/1909/0";"Usernames must be lower case";"用户名必须小写";"";""
"EXTRACTED/1910/0";"Full name";"姓名";"";""
"EXTRACTED/1911/0";"Send an email to a user asking them to set a password.";"向用户发送电子邮件，要求他们设置密码。";"";""
"EXTRACTED/1912/0";"Add";"添加";"";""
"EXTRACTED/1913/0";"Mail Servers Setting";"邮件服务器设置";"";""
"EXTRACTED/1914/0";"Mail servers";"邮件服务器";"";""
"EXTRACTED/1915/0";"Mail server settings";"邮件服务器设置";"";""
"EXTRACTED/1916/0";"Protocol";"协议";"";""
"EXTRACTED/1917/0";"Prefix";"前缀";"";""
"EXTRACTED/1918/0";"From name";"发件人名称";"";""
"EXTRACTED/1919/0";"Actions";"操作";"";""
"EXTRACTED/1920/0";"No mail servers are configured, please add a mail server";"未配置邮件服务器，请添加邮件服务器";"";""
"EXTRACTED/1921/0";"SMTP server details";"SMTP服务器详情";"";""
"EXTRACTED/1922/0";"From address";"发件人地址";"";""
"EXTRACTED/1923/0";"Subject prefix";"主题前缀";"";""
"EXTRACTED/1924/0";"A unique name to identify this mail server in the Foxit Admin Console.";"在福昕管理控制台中用于标识此邮件服务器的唯一名称。";"";""
"EXTRACTED/1925/0";"Specifies the From: address in notification emails (for example: noreply@yourcompany.com)";"指定通知电子邮件中的“发件人：”地址（例如：noreply@yourcompany.com）";"";""
"EXTRACTED/1926/0";"Specifies the From: display name in notification emails (for example: Your Company)";"在通知电子邮件中指定“发件人：”显示名称（例如：贵公司）";"";""
"EXTRACTED/1927/0";"This will be appended to the subject line of notification emails";"这将附加到通知电子邮件的主题行";"";""
"EXTRACTED/1928/0";"Server hostname";"服务器主机名";"";""
"EXTRACTED/1929/0";"The host name of the mail server (for example \";"邮件服务器的主机名（例如“ localhost ”或“ 192.168.1.42 ”）或javax.mail会话对象的JNDI位置";"";""
"EXTRACTED/1930/0";"Server port";"服务器端口";"";""
"EXTRACTED/1931/0";"The port the mail server should use";"邮件服务器应使用的端口";"";""
"EXTRACTED/1932/0";"The username to use to connect to the mail server";"用于连接到邮件服务器的用户名";"";""
"EXTRACTED/1933/0";"Use TLS";"使用TLS";"";""
"EXTRACTED/1934/0";"Check this box if the SMTP server you are connecting to uses TLS";"如果您要使用TLS连接SMTP服务器，请勾选该项";"";""
"EXTRACTED/1935/0";"Send test email";"发送测试邮件";"";""
"EXTRACTED/1936/0";"Delete mail server";"删除邮件服务器";"";""
"EXTRACTED/1937/0";"Are you sure you want to delete this mail server from the Admin Console?";"您确定要从管理控制台删除该邮件服务器吗？";"";""
"EXTRACTED/1938/0";"Edit successful.";"编辑成功。";"";""
"EXTRACTED/1939/0";"Save successful.";"保存成功。";"";""
"EXTRACTED/1940/0";"Subject";"主题";"";""
"EXTRACTED/1941/0";"Message Type";"消息类型";"";""
"EXTRACTED/1942/0";"Message sent successfully.";"消息已成功发送。";"";""
"EXTRACTED/1943/0";"Total users";"总用户数";"";""
"EXTRACTED/1944/0";"Selected";"选定内容";"";""
"EXTRACTED/1945/0";"Assign licenses by CSV";"通过CSV分配授权";"";""
"EXTRACTED/1946/0";"Are you sure you want to remove the user";"您确定要移除该用户的授权吗？";"";""
"EXTRACTED/1947/0";"Unsynced from Directory";"未同步目录";"";""
"EXTRACTED/1948/0";"Edit Details";"编辑详情";"";""
"EXTRACTED/1949/0";"Set Password";"设置密码";"";""
"EXTRACTED/1950/0";"Disable User";"禁用用户";"";""
"EXTRACTED/1951/0";"Delete User";"删除用户";"";""
"EXTRACTED/1952/0";"Are you sure you want to disable this user? Disabled users won";"您确定要禁用该用户吗？禁用的用户将无法登录，也不会影响您的授权数量。";"";""
"EXTRACTED/1953/0";"Not enough licenses available for assignment. Please remove some assigned licenses or purchase additional licenses.";"没有足够的授权可用于分配。请移除一些分配的授权或购买其他授权。";"";""
"EXTRACTED/1954/0";"We are updating your licenses, please wait.";"我们正在更新您的授权，请等待。";"";""
"EXTRACTED/1955/0";"The maximum period is {{days}} days.";"最长期限为{{days}}天。";"";""
"EXTRACTED/1956/0";"Create Group";"创建组";"";""
"EXTRACTED/1957/0";"Users can be added to groups for easy management";"可以将用户添加到组中以便于管理";"";""
"EXTRACTED/1958/0";"Edit Group";"编辑组";"";""
"EXTRACTED/1959/0";"When you edit the group, you";"编辑组时，您可以添加用户";"";""
"EXTRACTED/1960/0";"Group names cannot be changed.";"组名不能更改。";"";""
"EXTRACTED/1961/0";"Group Description";"组描述";"";""
"EXTRACTED/1962/0";"Next";"下一步";"";""
"EXTRACTED/1963/0";"Add users";"添加用户";"";""
"EXTRACTED/1964/0";"Added users";"添加的用户";"";""
